id;name;title;type;created_by;last_modified_by;block_id;parent_id
1;1;What is your age range?;DROPDOWN;system;system;1;
2;2;How do you identify your gender?;DROPDOWN;system;system;1;
3;3;What is your level of education?;DROPDOWN;system;system;1;
4;4;Marital status;DROPDOWN;system;system;1;
5;5;Do you have caring responsibilities?;DROPDOWN;system;system;1;
6;6;Please indicate, how well do the following statements describe your personality? (I see myself as someone who ...);MATRIX;system;system;2;
7;7;...is reserved;SUB_MATRIX;system;system;2;6
8;8;...is generally trusting;SUB_MATRIX;system;system;2;6
9;9;...tends to be lazy;SUB_MATRIX;system;system;2;6
10;10;...is relaxed, handles stress well;SUB_MATRIX;system;system;2;6
11;11;...has few artistic interests;SUB_MATRIX;system;system;2;6
12;12;...is outgoing, sociable;SUB_MATRIX;system;system;2;6
13;13;...tends to find fault with others;SUB_MATRIX;system;system;2;6
14;14;...does a thorough job;SUB_MATRIX;system;system;2;6
15;15;...gets nervous easily;SUB_MATRIX;system;system;2;6
16;16;...has an active imagination;SUB_MATRIX;system;system;2;6
17;17;Please indicate, how often have you been bothered by any of the following problems over the last two weeks?;MATRIX;system;system;3;
18;18;Feeling nervous, anxious or on edge?;SUB_MATRIX;system;system;3;17
19;19;Not being able to stop or control worrying?;SUB_MATRIX;system;system;3;17
20;20;Worrying too much about different things?;SUB_MATRIX;system;system;3;17
21;21;Trouble relaxing?;SUB_MATRIX;system;system;3;17
22;22;Being so restless that it is hard to sit still?;SUB_MATRIX;system;system;3;17
23;23;Becoming easily annoyed or irritable?;SUB_MATRIX;system;system;3;17
24;24;Feeling afraid as if something awful might happen?;SUB_MATRIX;system;system;3;17
25;25;Please indicate for each of the 14 statements which is closest to how you have been feeling over the past 2 weeks?;MATRIX;system;system;4;
26;26;I've been feeling optimistic about the future;SUB_MATRIX;system;system;4;25
27;27;I've been feeling useful;SUB_MATRIX;system;system;4;25
28;28;I've been feeling relaxed;SUB_MATRIX;system;system;4;25
29;29;I've been feeling interested in other people;SUB_MATRIX;system;system;4;25
30;30;I've had energy to spare;SUB_MATRIX;system;system;4;25
31;31;I've been dealing with problems well;SUB_MATRIX;system;system;4;25
32;32;I've been thinking clearly;SUB_MATRIX;system;system;4;25
33;33;I've been feeling good about myself;SUB_MATRIX;system;system;4;25
34;34;I've been feeling close to other people;SUB_MATRIX;system;system;4;25
35;35;I've been feeling confident;SUB_MATRIX;system;system;4;25
36;36;I've been able to make up my own mind about things;SUB_MATRIX;system;system;4;25
37;37;I've been feeling loved;SUB_MATRIX;system;system;4;25
38;38;I've been interested in new things;SUB_MATRIX;system;system;4;25
39;39;I've been feeling cheerful;SUB_MATRIX;system;system;4;25
40;40;Please indicate your level of agreement with the following statements;MATRIX;system;system;6;
41;41;My job requires working very fast;SUB_MATRIX;system;system;6;40
42;42;My job requires working very hard;SUB_MATRIX;system;system;6;40
43;43;I am not asked to do an excessive amount of work;SUB_MATRIX;system;system;6;40
44;44;I have enough time to get the job done;SUB_MATRIX;system;system;6;40
45;45;I am free from conflicting demands that others make;SUB_MATRIX;system;system;6;40
46;46;My job requires long periods of intense concentration on the task;SUB_MATRIX;system;system;6;40
47;47;My tasks are often interrupted before they can be completed, requiring attention at a later time;SUB_MATRIX;system;system;6;40
48;48;My job is very hectic;SUB_MATRIX;system;system;6;40
49;49;Waiting on work from other people or departments often slows me down on my job;SUB_MATRIX;system;system;6;40
50;50;Please indicate your level of agreement with the following statement;MATRIX;system;system;7;
51;51;My job requires physical effort;SUB_MATRIX;system;system;7;50
52;52;Please indicate your level of agreement with the following statements;MATRIX;system;system;8;
53;53;I have experienced or I expect to experience an undesirable change in my work situation;SUB_MATRIX;system;system;8;52
54;54;My employment security is poor;SUB_MATRIX;system;system;8;52
55;55;Please indicate your level of agreement with the following statements;MATRIX;system;system;9;
56;56;My job promotion prospects are poor;SUB_MATRIX;system;system;9;55
57;57;My current occupational position adequately reflects my education and training;SUB_MATRIX;system;system;9;55
58;58;Considering all my efforts and achievements, my job promotion prospects are adequate;SUB_MATRIX;system;system;9;55
59;59;Considering all my efforts and achievements, my salary/income is adequate;SUB_MATRIX;system;system;9;55
60;60;Please indicate your level of agreement with the following statements;MATRIX;system;system;10;
61;61;I receive the respect and prestige I deserve at work;SUB_MATRIX;system;system;10;60
62;62;I receive the respect I deserve from my superiors;SUB_MATRIX;system;system;10;60
63;63;I receive the respect I deserve from my colleagues;SUB_MATRIX;system;system;10;60
64;64;I am treated unfairly at work;SUB_MATRIX;system;system;10;60
65;65;I experience adequate support in difficult situations;SUB_MATRIX;system;system;10;60
66;66;Please indicate your level of agreement with the following statements;MATRIX;system;system;11;
67;67;My supervisor is concerned about the welfare of those under him;SUB_MATRIX;system;system;11;66
68;68;My supervisor pays attention to what I'm saying;SUB_MATRIX;system;system;11;66
69;69;My supervisor is helpful in getting the job done;SUB_MATRIX;system;system;11;66
70;70;My supervisor is successful in getting people to work together;SUB_MATRIX;system;system;11;66
71;71;Please indicate your level of agreement with the following statements;MATRIX;system;system;12;
72;72;The people I work with are competent in doing their jobs;SUB_MATRIX;system;system;12;71
73;73;The people I work with take a personal interest in me;SUB_MATRIX;system;system;12;71
74;74;The people I work with are friendly;SUB_MATRIX;system;system;12;71
75;75;The people I work with are helpful in getting the job done;SUB_MATRIX;system;system;12;71
76;76;Please indicate your level of agreement with the following statements;MATRIX;system;system;13;
77;77;My job requires that I learn new things;SUB_MATRIX;system;system;13;76
78;78;My job requires a high level of skill;SUB_MATRIX;system;system;13;76
79;79;My job requires me to be creative;SUB_MATRIX;system;system;13;76
80;80;My job involves a lot of repetitive work;SUB_MATRIX;system;system;13;76
81;81;I get to do a variety of different things on my job;SUB_MATRIX;system;system;13;76
82;82;I have the opportunity to develop my own special abilities;SUB_MATRIX;system;system;13;76
83;83;Please indicate your level of agreement with the following statements;MATRIX;system;system;14;
84;84;On my job I have the freedom to decide how I do my work;SUB_MATRIX;system;system;14;83
85;85;My job allows me to make a lot of decisions on my own;SUB_MATRIX;system;system;14;83
86;86;I have a lot to say about what happens on my job;SUB_MATRIX;system;system;14;83
87;87;Please indicate your level of agreement with the following statements;MATRIX;system;system;15;
88;88;The demands of my work interfere with my family or personal time;SUB_MATRIX;system;system;15;87
89;89;The amount of time my job takes up makes it difficult to fulfill my family or personal responsibilities;SUB_MATRIX;system;system;15;87
90;90;Things I want to do at home do not get done because of the demands my job puts on me;SUB_MATRIX;system;system;15;87
91;91;My job produces strain that makes it difficult to fulfill my family or personal duties;SUB_MATRIX;system;system;15;87
